Model,Bandwidth,fattree,mixnet,rail-optimized,topoopt
Mixtral 8*22B,100.0,1.3743484582184033,1.4541709245236023,1.3605676627542203,2.6965232221381488
Mixtral 8*22B,200.0,1.1940221720447362,1.2006052855934743,1.1627305978454807,1.976022747758196
Mixtral 8*22B,400.0,1.0816994101601314,1.1138412705013914,1.0957273449419245,1.5752009814837324
Mixtral 8*22B,800.0,1.0241518770911373,1.0126344225828576,1.0,1.2669499895979803
Mixtral 8*7B,100.0,1.2098142915084984,1.2487696208629178,1.18901751330757,2.273173855176166
Mixtral 8*7B,200.0,1.0786571639450722,1.0975801537020935,1.0572437640673087,1.6250242344739871
Mixtral 8*7B,400.0,1.0302239853908406,1.0309467182793302,1.0131054620380215,1.268446530603671
Mixtral 8*7B,800.0,1.0002911778848984,1.0012663602248657,1.0,1.1430216689505082
Llama-MoE,100.0,3.9323615746392275,5.009859032475658,5.313842693382581,9.530616035052265
Llama-MoE,200.0,2.18810393086488,2.7265517950688967,2.93217810896891,5.7370263124111975
Llama-MoE,400.0,1.3461747361073735,1.599192937232423,1.6753529690602926,3.9805083110814157
Llama-MoE,800.0,1.0,1.1916720240604728,1.1241446927688727,2.3033673919069124
Qwen-MoE,100.0,5.09418619126068,6.173743766918513,6.1104215995427635,7.7748681115061045
Qwen-MoE,200.0,2.730045083711109,3.204935316618282,3.237759588382703,4.552568365377442
Qwen-MoE,400.0,1.563193883429469,1.7643737444680594,1.8302325953740541,2.801891096673249
Qwen-MoE,800.0,1.0,1.0534585618520547,1.154757853315136,1.7886986063968866
